state,1970,1975,1980,1985,1990
Alabama,413,286,200,37,86
Alaska,113,409,18,18,167
Arizona,615,437,635,1013,1645
Arkansas,212,409,240,46,420
California,9422,5134,3673,5371,4870
Colorado,915,239,591,299,278
Connecticut,860,417,110,118,107
District of Columbia,87,90,36,10,10
Delaware,135,50,34,38,89
Florida,1804,2279,1344,775,476
Georgia,763,1048,597,176,298
Hawaii,237,240,69,43,51
Idaho,168,171,83,204,75
Illinois,1683,1205,769,82,1115
Indiana,584,453,279,95,246
Iowa,338,191,123,39,214
Kansas,555,328,145,64,161
Kentucky,1241,911,338,160,72
Louisiana,564,425,488,109,179
Maine,642,34,22,17,6
Maryland,907,393,212,65,757
Massachusetts,2204,240,113,182,311
Michigan,3809,2018,612,319,307
Minnesota,333,409,213,186,227
Mississippi,235,308,284,39,37
Missouri,725,450,176,84,387
Montana,166,247,85,97,111
Nebraska,132,86,53,59,69
Nevada,137,172,283,393,262
New Hampshire,206,116,30,4,4
New Jersey,2655,942,493,365,248
New Mexico,351,385,39,391,745
New York,5024,1932,666,434,1403
North Carolina,956,634,263,83,531
North Dakota,66,99,3,9,20
Ohio,2247,1619,459,298,229
Oklahoma,400,447,286,346,468
Oregon,1008,673,553,1458,629
Pennsylvania,2863,931,332,341,1340
Rhode Island,659,267,79,15,45
South Carolina,375,367,97,35,35
South Dakota,21,41,64,236,422
Tennessee,1267,1170,379,74,158
Texas,2741,2845,2066,1965,1886
Utah,310,272,166,209,497
Vermont,367,59,31,22,4
Virginia,1353,400,236,138,241
Washington,1374,735,374,580,1134
West Virginia,383,162,85,29,21
Wisconsin,480,425,211,0,322
Wyoming,83,34,17,9,72
