state,1970,1975,1980,1985,1990
Alabama,392,453,34,1,19
Alaska,290,52,16,10,4
Arizona,987,0,43,124,123
Arkansas,156,185,25,7,138
California,6225,3728,407,382,484
Colorado,1535,675,65,26,28
Connecticut,3649,812,100,8,12
District of Columbia,218,154,5,0,35
Delaware,366,14,40,0,5
Florida,2907,944,182,56,172
Georgia,3,17,16,30,96
Hawaii,1493,54,21,19,25
Idaho,107,72,19,10,75
Illinois,2221,2853,412,216,159
Indiana,2428,2339,151,37,23
Iowa,3319,1525,62,19,23
Kansas,155,1073,128,44,95
Kentucky,2203,1881,764,8,0
Louisiana,48,353,68,2,120
Maine,904,80,329,12,0
Maryland,1140,466,350,37,1078
Massachusetts,3391,311,128,25,13
Michigan,7672,9867,997,334,160
Minnesota,536,240,30,1,17
Mississippi,73,373,65,5,6
Missouri,314,540,95,18,48
Montana,807,44,52,12,1
Nebraska,399,91,9,3,9
Nevada,0,102,9,66,21
New Hampshire,431,132,22,11,11
New Jersey,2772,456,127,55,74
New Mexico,783,74,0,0,0
New York,1026,2148,277,162,0
North Carolina,0,126,100,20,327
North Dakota,374,514,4,4,0
Ohio,4903,2770,1252,300,92
Oklahoma,2403,345,0,0,119
Oregon,1372,761,94,0,0
Pennsylvania,3450,729,494,75,110
Rhode Island,2257,881,35,16,10
South Carolina,1027,76,211,11,72
South Dakota,58,6,4,0,0
Tennessee,3303,2410,34,18,54
Texas,5972,3890,208,315,456
Utah,129,189,29,5,14
Vermont,736,12,12,3,2
Virginia,2228,851,86,49,95
Washington,5829,4556,132,41,61
West Virginia,2535,1472,140,74,43
Wisconsin,11346,6051,365,93,50
Wyoming,44,2,0,2,3
