state,1970,1975,1980,1985,1990
Alabama,0,46,4,29,76
Alaska,0,4,5,31,15
Arizona,0,0,21,49,56
Arkansas,0,25,14,17,23
California,0,129,122,256,417
Colorado,0,0,27,91,126
Connecticut,0,10,4,12,27
District of Columbia,0,0,0,1,15
Delaware,0,2,1,1,7
Florida,0,27,58,71,44
Georgia,0,8,121,98,42
Hawaii,0,0,0,17,113
Idaho,0,9,10,16,49
Illinois,0,88,107,46,293
Indiana,0,5,96,201,110
Iowa,0,4,2,35,20
Kansas,0,0,16,26,23
Kentucky,0,41,36,9,0
Louisiana,0,64,33,18,34
Maine,0,0,5,13,24
Maryland,0,0,3,184,65
Massachusetts,0,4,23,52,319
Michigan,0,93,37,56,82
Minnesota,0,1,25,135,52
Mississippi,0,48,16,7,7
Missouri,0,74,27,34,60
Montana,0,14,4,10,36
Nebraska,0,0,0,9,10
Nevada,0,0,1,0,2
New Hampshire,0,5,7,114,69
New Jersey,0,0,11,12,34
New Mexico,0,23,21,15,22
New York,0,72,74,130,0
North Carolina,0,46,32,39,78
North Dakota,0,0,3,8,4
Ohio,0,30,75,121,264
Oklahoma,0,29,29,107,75
Oregon,0,33,2,49,90
Pennsylvania,0,15,39,89,173
Rhode Island,0,0,3,31,10
South Carolina,0,10,16,3,14
South Dakota,0,0,3,11,1
Tennessee,0,77,36,28,80
Texas,0,141,77,351,82
Utah,0,0,10,59,39
Vermont,0,5,0,4,7
Virginia,0,20,10,22,25
Washington,0,27,60,92,210
West Virginia,0,44,22,5,28
Wisconsin,0,109,27,158,99
Wyoming,0,7,2,1,1
