state,1970,1975,1980,1985,1990
Alabama,380,23,4,0,1
Alaska,85,1,12,1,0
Arizona,621,2,41,1,31
Arkansas,38,1,5,1,3
California,5253,1440,801,130,465
Colorado,432,136,12,0,4
Connecticut,621,312,22,4,3
District of Columbia,21,0,0,0,1
Delaware,46,21,0,1,0
Florida,3339,180,104,29,12
Georgia,0,4,0,6,1
Hawaii,221,21,7,42,15
Idaho,205,74,22,1,49
Illinois,1780,413,176,18,20
Indiana,2038,1052,366,1,0
Iowa,2075,33,9,1,4
Kansas,62,638,120,7,5
Kentucky,963,228,45,3,1
Louisiana,156,290,13,0,11
Maine,489,37,116,0,2
Maryland,334,38,72,6,2
Massachusetts,1280,1227,97,7,2
Michigan,2823,1691,129,20,9
Minnesota,127,37,52,3,43
Mississippi,91,14,2,0,0
Missouri,437,732,47,8,0
Montana,339,254,27,0,15
Nebraska,555,21,1,0,1
Nevada,0,8,7,1,8
New Hampshire,150,203,36,3,1
New Jersey,895,1031,84,8,0
New Mexico,235,21,2,2,0
New York,1182,530,329,206,0
North Carolina,50,44,48,1,1
North Dakota,156,51,5,0,0
Ohio,2166,655,10,0,131
Oklahoma,819,103,7,1,1
Ooregon,999,193,65,3,13
Pennsylvania,1994,268,151,14,1
Rhode Island,180,29,9,0,1
South Carolina,676,496,55,3,1
South Dakota,4,18,2,0,0
Tennessee,1529,642,41,0,14
Texas,8323,353,133,40,87
Utah,173,37,31,0,4
Vermont,68,72,3,0,0
Virginia,769,328,61,2,1
Washington,4880,360,97,14,1
West Virginia,1417,238,33,11,0
Wisconsin,2294,984,180,0,2
Wyoming,136,0,1,0,1
