date,Autumn,Spring,Summer,Winter
1970,14253,14002,13802,13131
1971,14428,15723,14919,13889
1972,10505,13213,12544,12356
1973,12103,11459,12395,12595
1974,8861,10887,10203,8100
1975,7842,8984,8568,8240
1976,7598,8783,8660,7255
1977,7114,7508,7112,7098
1978,6546,6413,7297,6591
1979,6806,6796,6703,6270
1980,5611,5641,6444,1058
1981,5086,6016,4919,5667
1982,5318,4909,4782,5353
1983,4632,5587,4671,4854
1984,4150,5166,4583,5524
1985,5403,4768,4900,2108
1986,3646,4967,4776,2695
1987,5222,5351,5423,5886
1988,1544,2809,2724,5250
1989,4821,7820,3438,7435
1990,5858,5603,5682,6344
