date,Autumn,Spring,Summer,Winter
1970,7371,28287,41288,12499
1971,11791,48203,71998,8900
1972,4197,17919,26905,7999
1973,3649,17657,24930,4274
1974,3773,13658,19966,3644
1975,4229,11289,21885,5070
1976,5349,21890,38547,9892
1977,8598,25147,53556,4069
1978,6340,13480,25901,7401
1979,3201,6566,12536,2285
1980,2481,6159,15675,893
1981,663,1301,2889,694
1982,495,337,990,796
1983,390,757,867,194
1984,959,668,2061,400
1985,1249,986,2014,322
1986,2700,2353,4628,1340
1987,1212,872,3076,450
1988,1330,853,1778,1006
1989,7278,3505,8980,8499
1990,10037,5919,14558,3356
