date,Autumn,Spring,Summer,Winter
1970,9091,33044,32931,21850
1971,8735,42269,43139,20037
1972,4990,24662,23238,12704
1973,5151,23279,21936,12370
1974,4336,21511,17120,12020
1975,5142,19299,22588,10720
1976,2953,16288,13544,4840
1977,1706,7159,6549,3941
1978,1722,4940,6103,2955
1979,1346,4755,5258,2421
1980,750,3520,2880,1098
1981,527,1402,1175,1290
1982,445,1661,2077,937
1983,479,999,974,719
1984,368,883,895,625
1985,397,988,826,555
1986,1276,629,1485,1981
1987,1110,4000,4031,1711
1988,767,1137,1684,1071
1989,1152,1320,1490,1379
1990,905,1251,1566,860
