date,Autumn,Spring,Summer,Winter
1970,3799,18793,26870,4444
1971,3951,15522,19090,4049
1972,2129,8326,9054,3649
1973,1834,9367,14425,1706
1974,1464,3523,4457,1601
1975,981,4031,9309,1263
1976,902,4322,5383,1353
1977,1348,7847,9268,1281
1978,1852,3044,10009,1149
1979,1024,2924,6182,886
1980,454,1151,1641,446
1981,328,678,762,283
1982,348,537,1004,247
1983,139,267,382,153
1984,209,120,285,119
1985,196,84,270,49
1986,125,99,167,79
1987,87,69,127,25
1988,59,43,56,40
1989,133,56,117,66
1990,183,129,412,244
