year	RUBELLA	PERTUSSIS	HEPATITIS	MEASLES	MUMPS	POLIO
1970	53906	0	55188	45697	96916	0
1971	42612	0	58959	71878	114180	0
1972	23158	0	48618	30121	65594	0
1973	27332	0	48552	25657	62736	0
1974	11045	1627	38051	21072	54987	0
1975	15584	1389	33634	23845	57749	0
1976	11960	863	32296	39001	37625	0
1977	19744	1697	28832	49654	19355	0
1978	16054	1687	26847	1378	15720	0
1979	11016	1276	26575	12781	13780	0
1980	3692	1377	18754	13047	8248	0
1981	2051	1002	21688	2947	4394	0
1982	2136	1356	20362	1709	5120	0
1983	941	2152	19744	1182	3171	0
1984	733	1995	19423	2200	2771	0
1985	599	2973	17179	2415	2766	0
1986	470	3927	16084	5725	5371	0
1987	308	2342	21882	3192	10852	0
1988	198	2943	12327	2851	4659	0
1989	372	3293	23514	15227	5341	0
1990	968	3552	23487	21734	4582	0
